identifier,filename,assignment,doi
aluja2020,aluja2020.pdf,eval,
anderson2003,anderson2003.pdf,tuning,
ayranci2014,ayranci2014.pdf,eval,
bagby1994,bagby1994.pdf,eval,
besharat2007-1,besharat2007-1.pdf,eval,
besharat2007-2,besharat2007-2.pdf,eval,
besharat2008-1,besharat2008-1.pdf,tuning,
besharat2008-2,besharat2008-2.pdf,tuning,
bolat2017,bolat2017.pdf,tuning,
boutemy2000,boutemy2000.pdf,eval,
bressi1996,bressi1996.pdf,eval,
chung2003,chung2003.pdf,eval,
chung2003_translation,chung2003_translation.pdf,eval,
cleland2005,cleland2005.pdf,eval,
colombarolli2019,colombarolli2019.pdf,eval,
degucht2004,degucht2004.pdf,tuning,
eiden1998,eiden1998.pdf,tuning,
el_abiddine2017,el_abiddine2017.pdf,eval,
erni1997,erni1997.pdf,tuning,
franz2001,franz2001.pdf,eval,
fukunishi1997,fukunishi1997.pdf,eval,
gignac2007,gignac2007.pdf,eval,
gülec2009,gülec2009.pdf,eval,
joukamaa2001,joukamaa2001.pdf,eval,
kamm2016,kamm2016.pdf,eval,
kamm2016_paper,kamm2016_paper.pdf,eval,
khosravani2019,khosravani2019.pdf,eval,
koch2015,koch2015.pdf,eval,
kojima2001,kojima2001.pdf,eval,
komaki2003,komaki2003.pdf,eval,
kroner1995,kroner1995.pdf,eval,
loas2001,loas2001.pdf,eval,
loiselle2001,loiselle2001.pdf,eval,
louth1998,louth1998.pdf,eval,
martinez-Sanchez1996,martinez-Sanchez1996.pdf,eval,
meganck2008,meganck2008.pdf,eval,
moriguchi2007,moriguchi2007.pdf,eval,
müller2003,müller2003.pdf,eval,
nunes2011,nunes2011.pdf,eval,
pandey1996,pandey1996.pdf,eval,
parker1993,parker1993.pdf,eval,
parker2003,parker2003.pdf,tuning,
parker2005,parker2005.pdf,eval,
parker2010,parker2010.pdf,eval,
pinaquy2002,pinaquy2002.pdf,eval,
popp2008,popp2008.pdf,eval,
praceres2000,praceres2000.pdf,eval,
preece2018,preece2018.pdf,eval,
preece2020-1,preece2020-1.pdf,tuning,
preece2020-2,preece2020-2.pdf,eval,
reise2013,reise2013.pdf,eval,
richards2005,richards2005.pdf,eval,
seo2009,seo2009.pdf,eval,
simonsson-sarnecki2000,simonsson-sarnecki2000.pdf,eval,
thorberg2010,thorberg2010.pdf,eval,
tuliao2019,tuliao2019.pdf,eval,
tuliao2019supplemental_material,tuliao2019supplemental_material.pdf,eval,
verissimo2000,verissimo2000.pdf,eval,
watters2019,watters2019.pdf,tuning,
wise2000,wise2000.pdf,eval,
zhu2007,zhu2007.pdf,eval,
zimmermann2005,zimmermann2005.pdf,eval,
